"tweetPsbb"
"“esensi dari ppkm pemberlakuan pembatasan kegiatan masyarakat ini kan membatasi mobilitas tetapi yang saya lihat… "
"temen kasih undangan“lu nikahan jauh amat di tanggerang ”“iya cii soalnya di tanggerang ga ada psbb”“”… "
"bapak kemana aja dilapangan nggak ada yg serius buat menjalankan aturan psbb ppkm dari maret      sampe skrang… "
"serba salah mana psbb lagi"
" sementara bayangin dulu ngab masih psbb wkwkwk"
"chord sederhana namun karakter sangat kuat harmoni vokal indah luar biasabtw krn psbb biar sehat ringo tetap ma… "
" harusnya tetep rame ya masak kok psbb jadi sepi gak khas sini bgt"
"paaaakkkkk bangun pakkk bangunnnn hellowwwww emang psbb dari awal tegass "
" semua serba setengah bang tracing psbb vaksin gak ada yg digarap serius sampe hopeless sama negara send… "
" ak pgn tp tempatq psbb"
"dalam masa psbb ngene ki kedai ngasi ngedol kopi nggo memenuhi kebutuhan hidup bakul e "
" iyaa tauu tapi sosmed kan nda ada psbb"
" kan psbb suruh diem dirumah"
"ansor sana laok pamekasan bersama psbb khitan gratis    anak "
" wow kan bentar lagi mau valentineterus kan psbb dan ga bisa makan makan di restaurantsi al ga mau nih gw tawarin…"
" mami saya mengira akibat perpanjangan psbb jakarta dan p satunya lagi saya lupa wiken ini pesanan ketan bumbu di hari mi…"
"pembubaran kegiatan masyarakat dalam rangka penegakan hukum psbb "
" psbb ga dulu"
"lrt bener banget harusnya kita itu lockdown bukan psbb"
"dari awal segala kebijakan ga ada yang berlandaskan sains ngeluarin kebijakan tergantung kebutuhan ada pilkada s… "
"gultik blok m buka ga sih psbb giniiiii "
"bangsat wes bayar tiket larang larang info e berubah gara gara psbb gk sido delok bangsatkecewa aku"
" mbengi psbb"
"jawa bali padahal psbb tapi anjir masih ae diatas    rebu naeknya "
"pembubaran kegiatan masyarakat dalam rangka penegakan hukum psbb "
" lumayan masih dapet nongki di mal dari jam    sampai jam   malem lagi psbb coba kalo jam kerjanya normal "
" hi karna psbb lagi aku jual whole cake yang akan menemani kalian selama di rumah aja feel free to retweet yah thankyou…"
" lumayan masih dapet nongki di mal dari jam    sampai jam   malem lagi psbb coba kalo jam kerjanya normal "
"ansor sana laok pamekasan bersama psbb khitan gratis    anak "
" psbb dikafe liar jlrawa sumur kawasan industri pulogadung tdk di indahkan atau satpol pp yg tdk tegas atau sengaja …"
" berani dong buat kebaikan ibu kota gw rt<U+0001F44D> bilang ke idola kamu itu stoppsbb buk… "
"bosen banget psbb diperpanjang call yuk say f"
"ansor sana laok pamekasan bersama psbb khitan gratis    anak "
"di kala psbb ini pun sempat menemui ada bbrp yg nugas di mcd di jam makan siang <U+0001F605> "
" kenapa jam  <U+0001F62D><U+0001F62D><U+0001F62D> alfa udah pada tutup lagi psbb<U+0001F60C><U+0001F62D>"
" covid    melonjak di tengah ppkm epidemiolog sarankan psbb "
" gultik blok m lagi psbb gini buka ga ya kak "
" wow kan bentar lagi mau valentineterus kan psbb dan ga bisa makan makan di restaurantsi al ga mau nih gw tawarin…"
" uner ngambil almet maba waktu ini buka ngga ya kampusnya apa ikutan tutup karena psbb pliss aku sampe skrng blom dpt almet <U+0001F62D>"
" selama psbbsampai   february   oh la vitabuka  hari non stopdari jam      sd      last order      steakandsha…"
" iya ini mau ngajakin mama ke jogja aja ketahan gara  psbb n zon merah ditempatnya mamaku… "
" ga ah psbb <U+0001F64F>"
"hai sobat alam yuk kenalan dengan partner lindungihutan pak riyanto yang sangat peduli dalam menjaga lingkungan… "
"malem kemana ya haha pd tutup sih psbb"
"kembali masa psbb koramil dan muspika kapanewon ngemplak gencar giat pstkmpembatasan sosial bersekala besar pada… "
"ceritanya emak posting lagi jalan jalan di salah satu tempat wisata alam di jogjaterus aku tegur soalnya ngapain… "
" piye jalanan jawa pas psbb rame "
" masih psbb mana bisa dine in"
" tidak ada political will untuk menambah jumlah testing karena akan menambah kasus harusnya menyadari… "
" ngelanggar psbb dipamerin mantap <U+270C><U+FE0F>"
" lebih ga macet lagi kalau jam   pagi orang pada mudik dan sdg psbbiya khan wan wakakakakak… "
" wow kan bentar lagi mau valentineterus kan psbb dan ga bisa makan makan di restaurantsi al ga mau nih gw tawarin…"
" psbb mah aya ompe sebagai cees kentel pak oded <U+0001F601>"
"semenjak psbb pikiran dalam diri gua ngomong mulu kaya kontol bener juga engga anjing"
" iya tapi kan psbb "
"makan sorenya cukup sop belut disaung psbb maknyus "
"kaya sbnrnya pengen main trus tiap kluar juga klo emang harus bgt fix bismillah kewajiban tdk ada overmacht tapi… "
"tiap kali mandi pagi pasti ad kecoa di kamar mandi tp kalo mandi malem ga ada ini kecoanya partime apa karna emg… "
" mami saya mengira akibat perpanjangan psbb jakarta dan p satunya lagi saya lupa wiken ini pesanan ketan bumbu di hari mi…"
" yoi anjir sehari sblm uprak lgsg psbb<U+0001F485>"
" wow kan bentar lagi mau valentineterus kan psbb dan ga bisa makan makan di restaurantsi al ga mau nih gw tawarin…"
" psbb di perpanjang sampe tanggal   februari jadi ganjil genapnya ditiadakan juga sampe tanggal  "
" kan psbb"
" lucu bicara kemacetan disaat psbb sbg dampak dari covid   capek dehh"
"patroli polsek purwaharja himbau warga untuk terapkan protokol kesehatan pada kesempatan tersebut petugas menyampa… "
"patroli polsek purwaharja himbau warga untuk terapkan protokol kesehatan pada kesempatan tersebut petugas menyampa… "
" wow kan bentar lagi mau valentineterus kan psbb dan ga bisa makan makan di restaurantsi al ga mau nih gw tawarin…"
"patroli polsek purwaharja himbau warga untuk terapkan protokol kesehatan pada kesempatan tersebut petugas menyampa… "
"selama psbbsampai   february   oh la vitabuka  hari non stopdari jam      sd      last order      … "
"psbb belum maksimal lockdown akhir pekan jadi alternatif "
"patroli polsek purwaharja himbau warga untuk terapkan protokol kesehatan pada kesempatan tersebut petugas menyampa… "
"patroli polsek purwaharja himbau warga untuk terapkan protokol kesehatan pada kesempatan tersebut petugas menyampa… "
" tanya aja akun twttr krl mungkin psbb ada perubahan"
"psbb "
" psbb"
" warung deket rumah aku juga gini biasanya tutup jam   tapi sekarang tutup lebih awal bukan gara psb… "
" psbb"
" ketat bgt skor ngalahin aturan psbb"
"masih psbb "
" pantes pengadegan psbb"
" keren dah psbb nya smpe kpan bru "
" aslina om pami teu rudet ku psbb mah ieu"
" emang ngga ada pengamanan lagi psbb pak "
" covid    melonjak di tengah ppkm epidemiolog sarankan psbb "
" wow kan bentar lagi mau valentineterus kan psbb dan ga bisa makan makan di restaurantsi al ga mau nih gw tawarin…"
" nah aku sih setuju kalo orang ga pake masker orang melanggar psbb harus ditindakkalo perlu dipecut kyk… "
"selama pelaksanaan ppkm atau psbb proporsional puluhan tempat usaha di kota bandung telah disegel oleh satuan tuga… "
" min buat psbb buat match tengah pekan dong min apalagi bentar lg ucl mulai lg"
"psbb is like drinking the alcohol in indonesia i m not a regular drinker but it woule be great if i have the free… "
"bingung aja sih lagi musim psbb gini emang dibolehin buat acara makrab "
" iya soalnya yg di atur tuh gk mau kalo yg mau rakyatnya wlaupun gk d psbb warga b… "
" limit ya bro gue dah  x di perpanjang dah kaya psbb aja perpanjang trus <U+0001F915>"
" covid    melonjak di tengah ppkm epidemiolog sarankan psbb "
" psbb"
" covid    melonjak di tengah ppkm epidemiolog sarankan psbb "
"dear people udah tau psbb tempat makan kapasitasnya di kurangin tolong sadar diri kalo udah kelar makan ya cabut … "
" covid    melonjak di tengah ppkm epidemiolog sarankan psbb "
